Carimbo de data/hora,Aceito em participar do estudo a seguir.,Escolaridade,Qual gênero você se identifica,Você já participou de alguma competição de programação?,Eu me interessaria em participar de competições de programação se eu tivesse a oportunidade de receber orientação e mentoria de professoras experientes.,"Eu me interessaria em participar de competições de programação se pudesse participar de grupos de treinamento focados no desempenho e aprendizado das mulheres participantes, independente da mentoria ser feita por mulheres ou 0.","Eu me interessaria em participar de competições de programação se eu tivesse contato com uma mulher competidora ou ex-competidora para relatar sua experiência, seja por palestras ou por conversas informais.","Eu me sinto menos encorajada, em parte, a participar de competições por ser um ambiente majoritariamente masculino e com pouca representatividade feminina.",Eu me interessaria mais a participar de competições de programação se existisse um grupo acadêmicos formado só por mulheres engajadas na área que eu pudesse fazer parte.,"Eu me sentiria mais motivada a participar de competições de programação sabendo da existência de vagas de final destinadas exclusivamente às mulheres, como ocorre na Maratona SBC de Programação (Vagas na Final Brasileira, regra 4)","Eu optaria participar de competições somente para mulheres a competições mistas 
(a exemplo do Torneio Feminino organizado pela OPI)",Sugestões ou comentários
24/09/2023 11:20:30,Aceito,Ensino Superior Incompleto,Feminino,1,5,5,5,5,4,4,4,
24/09/2023 11:22:34,Aceito,Ensino Superior Incompleto,Feminino,1,5,3,5,5,5,4,3,
24/09/2023 11:26:14,Aceito,Ensino Médio Completo,Feminino,0,5,4,5,5,5,5,5,
24/09/2023 11:26:36,Aceito,Ensino Superior Completo,Feminino,0,5,5,5,2,5,5,5,
24/09/2023 11:27:12,Aceito,Ensino Superior Completo,Feminino,1,5,5,5,5,5,5,5,
24/09/2023 11:40:18,Aceito,Ensino Superior Incompleto,Feminino,0,4,4,4,3,4,4,4,
24/09/2023 12:02:34,Aceito,Ensino Superior Incompleto,Feminino,0,4,2,4,4,5,4,4,
24/09/2023 12:08:57,Aceito,Ensino Superior Incompleto,Feminino,0,4,2,4,5,4,4,4,
24/09/2023 12:38:31,Aceito,Ensino Superior Incompleto,Feminino,1,4,4,3,5,4,5,3,
24/09/2023 12:40:46,Aceito,Ensino Superior Incompleto,Feminino,0,5,3,5,4,4,4,3,
24/09/2023 12:46:42,Aceito,Ensino Superior Incompleto,Feminino,0,4,4,3,5,4,4,3,
24/09/2023 12:48:01,Aceito,Ensino Superior Incompleto,Feminino,0,5,3,5,4,5,2,4,
24/09/2023 12:50:33,Aceito,Ensino Superior Incompleto,Feminino,1,5,4,5,5,5,5,5,
24/09/2023 12:52:57,Aceito,Ensino Superior Incompleto,Feminino,1,5,5,5,3,4,5,5,
24/09/2023 12:54:23,Aceito,Ensino Superior Incompleto,Feminino,0,5,5,5,4,4,4,3,
24/09/2023 13:04:12,Aceito,Ensino Superior Incompleto,Feminino,1,4,5,5,5,3,4,1,
24/09/2023 13:13:49,Aceito,Ensino Superior Incompleto,Feminino,0,4,5,4,3,3,3,4,
24/09/2023 13:23:34,Aceito,Ensino Superior Completo,Feminino,0,4,5,4,5,5,5,4,
24/09/2023 13:27:09,Aceito,Ensino Superior Incompleto,Feminino,1,4,4,4,2,3,2,2,
24/09/2023 13:55:31,Aceito,Ensino Superior Incompleto,Feminino,1,5,5,4,4,4,2,4,
24/09/2023 14:30:00,Aceito,Ensino Superior Incompleto,Feminino,1,4,4,4,4,4,4,3,
24/09/2023 15:17:31,Aceito,Ensino Superior Incompleto,Feminino,1,3,3,4,4,4,3,3,
24/09/2023 16:25:52,Aceito,Ensino Superior Completo,Feminino,0,5,2,4,5,4,4,5,Meu maior medo de participar de campeonatos de programação é de 0 conseguir fazer nada e o grupo ficar irritado comigo.
24/09/2023 17:28:55,Aceito,Ensino Superior Incompleto,Feminino,1,5,5,5,5,4,4,4,
24/09/2023 17:41:20,Aceito,Ensino Superior Incompleto,Feminino,1,5,5,5,3,3,4,2,
24/09/2023 18:54:12,Aceito,Ensino Superior Incompleto,Feminino,0,4,5,4,4,4,5,4,
24/09/2023 19:01:02,Aceito,Ensino Superior Incompleto,Feminino,0,4,4,3,4,3,4,5,
24/09/2023 19:35:14,Aceito,Ensino Superior Incompleto,Feminino,0,4,4,5,2,4,4,3,
24/09/2023 20:39:32,Aceito,Ensino Superior Incompleto,Feminino,0,4,5,5,3,4,5,3,
24/09/2023 21:45:25,Aceito,Ensino Superior Incompleto,Feminino,0,4,4,5,2,3,3,3,
25/09/2023 16:01:01,Aceito,Ensino Superior Incompleto,Feminino,1,5,5,4,4,5,5,5,
25/09/2023 16:13:12,Aceito,Ensino Superior Completo,Feminino,0,5,5,5,2,3,1,5,
25/09/2023 16:16:39,Aceito,Ensino Superior Incompleto,Feminino,1,5,5,5,5,5,5,3,
25/09/2023 17:00:57,Aceito,Ensino Superior Completo,Feminino,0,4,4,3,4,3,4,3,
25/09/2023 21:57:42,Aceito,Ensino Superior Completo,Feminino,0,3,3,4,5,4,4,4,
27/09/2023 20:26:05,Aceito,Ensino Superior Incompleto,Feminino,1,5,5,5,2,5,5,5,
28/09/2023 19:07:21,Aceito,Ensino Superior Completo,Feminino,0,3,4,4,4,4,4,4,
29/09/2023 10:11:53,Aceito,Ensino Superior Completo,Feminino,1,3,2,5,5,4,4,2,
